pubkey,idebt_ratio,idebt_loaded,idebt_depth,idebt_agents,trustrank,in_degree,endorsement_count
000be66addfd0a2240d1524c7d56ee0a4f6dabad66bf4404f00dd605338852ab,7.453073e-06,1,2,1,1.881699e-04,1,1
0038075ff14c76dd008382504fdb75f335cbd2c07782802e6268c89273423be9,2.454545e-03,1,2,1,1.617056e-02,1,1
0083ba235d531d6dcaac2ebbc5a4e12a7c14cc7583d41c74731b96b95254c294,8.384707e-07,1,3,1,3.999916e-05,1,1
00b63b28b8d5601f8067abcc93b5cb69616dcd6ebc09ede5bd1937464eba92ef,1.629123e-05,1,2,1,4.293068e-04,1,1
010206a753f1e5dcaf96af3701c3298954090bf3ecd441ef6653116dfcca2fdb,1.629123e-05,1,2,1,4.293068e-04,1,1
0128cbb0c02c5791933b2634366f9bd97de5479b7e318e42d85c156347146231,7.453073e-06,1,2,1,1.881699e-04,1,1
018972e46d221b9dbe904f95befdce506a02da5efac92212108fbb8ed6e3c298,1.787290e-05,1,2,1,4.851167e-04,1,1
01b43b58e23e1b8ba5449ccf3079e2b3ea1145d77c4508cb5d660df5a852ce2e,4.658171e-08,1,3,1,2.191735e-06,1,1
02432e874b590ce7534b2910fc944f117957d1f56a1e9833e07b1a81795b13c1,1.676941e-09,1,4,1,6.885185e-08,1,1
024f5586528f3f4aec9c2bac5870f033d54899da5f4e243b8ec1ceb60c00b9bc,7.453073e-06,1,2,1,1.881699e-04,1,1
025fe39ead75615b1d2a81563b4afbd593461cd8b7740b3aadd07c9415db62f2,7.453073e-06,1,2,1,1.881699e-04,1,1
029a4323eb53ee87677ec5704851d7d8fb8ca87c3a4508f41c00acd4ebe70612,1.787290e-05,1,2,1,4.851167e-04,1,1
032f712e30eb553aad1c0ae1590b3a8703d831f2844e5f4657a5a31ca1344018,1.787290e-05,1,2,1,4.851167e-04,1,1
03480b72b2fded282519a60b1e88c30e49982423770eb47b76a0e43b7014f7ae,1.676941e-09,1,4,1,6.885185e-08,1,1
03a611e06b87c1d4b5f682cc1d56c2ee1a274849fd1bc0174fb93c9c9d4538b7,8.181818e-03,1,1,1,5.708264e-02,0,0
0425d5aa4a793d30d070a50ae2d01bdf75fb2a8bc3590e0efcd6dce136c89def,7.453073e-06,1,2,1,1.881699e-04,1,1
04262e64888a543ee8b496db527ae24d5031fe9380c6504b74d48839370cbd4a,9.402269e-06,1,2,1,2.191735e-06,1,1
